site,sample,year,Oligochaetes,Planarians,Crenobia.alpina,Crustacea,Gammarus,Plecoptera,Leuctridae,Perlodidae,Ephemeroptera,Baetidae,Heptagenidae,Siphlonuridae,Ephemerellidae,Caenidae,Leptophlebidae,Trichoptera,Hydropsychidae,Rhyacophilidae,Polycentropodidae,Lepidostomatidae,Limnephilidae,Goeridae,Sericostomatidae,Psychomyidae,Odontoceridae,Diptera,Chironomidae,Tipulidae,Ceratopogonidae,Coleoptera,Dytiscidae,Elminthidae,Helodidae,Hydracarina,Bullhead,Glossiphoniidae,Philopotamidae,lumbricidae,Simuliidae,Elminthidae.larvae
riffle,1,2013,1,,,,2,,14,1,10,10,8,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,
riffle,2,2013,1,,,,8,,10,,,25,17,,21,,,,5,4,,,1,,,,,,,,,,,,,,,,,,,
riffle,3,2013,,,,,5,,,,,11,15,,3,,,,,8,1,,,2,,,,,,,,,,,,4,,,,,,
riffle,4,2013,1,,,,4,,3,1,,,20,,5,,,,,1,,,5,,,,,,,,,,,1,,,,,,,,
riffle,5,2013,,,1,,,,,,,4,26,1,4,,,,2,1,1,1,1,1,1,,,,2,,,,9,,1,7,1,,,,,
riffle,6,2013,,3,,,,,5,,,,10,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
riffle,7,2013,3,,,,6,,3,,,,11,,4,,,,,,,,,,,,,,,,,,2,,,3,,,,,,
riffle,8,2013,,,,,13,,13,4,,,42,,10,,,,1,1,,,4,1,,,,,,,,,,,,,,,,,,
riffle,9,2013,,1,,,7,,11,1,,16,15,,18,,,,,6,,,1,,1,,,,,,,,,1,,,,,,,,
margin,1,2013,5,,,,4,,12,,,,2,1,4,,,,,,,,12,,4,,,,3,,,,5,,1,,,,,,,
margin,2,2013,4,,,,1,,11,2,,,1,,3,,,,,,,,2,,,,,,1,,,,,,,,,,,,,
margin,3,2013,2,,,,,,13,2,,,1,,2,4,,,,,,,,,,,,,2,,,,,,,1,,,,,,
margin,4,2013,4,,,,17,,135,124,,136,84,,,,1,,,2,5,,17,,,,,,,1,,,5,,,1,3,,,,,
margin,5,2013,2,,,,8,,50,,,,4,6,,,1,,,,1,,25,,4,1,,,2,,,,24,,,3,4,,,,,
margin,6,2013,,,,,,,17,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
margin,7,2013,15,,,,2,,60,,,,9,1,8,,,,,,,,,,1,,,,,,,,8,,2,1,,,,,,
margin,8,2013,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,
margin,9,2013,5,,,,4,,84,162,,,18,,3,,,,,8,1,,,,,,,,2,,,,17,,,3,,,,,,
riffle,1,2014,,,,,8,,,,,18,5,,9,,,,2,6,,1,,,,,,,,,,,1,,,,3,,,,,
riffle,2,2014,1,,,,2,,10,,,2,4,,6,,,1,,1,,,,,,,,,7,,,,,,,,,,,,,
riffle,3,2014,,2,,,4,,26,,,73,5,,52,,,,10,5,,2,,,1,,,3,3,,,,1,,,2,2,,2,,,
riffle,4,2014,,,,,2,,2,,,,13,,100,,,,,1,,,,,,,,,,,,,4,,,,2,,,,,
riffle,5,2014,,,,,,,3,,,12,1,,13,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,
riffle,6,2014,,3,,,,,20,,11,,8,,5,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
riffle,7,2014,3,,,,2,,,,,50,4,,38,,,,,,,,,,,3,,,,,,,,,,,,,3,,,
riffle,8,2014,,,,,,,10,,,8,2,,4,,,,,,,,,,,,,,2,,,,1,,,,,2,,,,
riffle,9,2014,,,,,3,,5,,,,,7,,9,,,,,11,,13,,,,,15,,17,,,,,19,,21,,,,,
riffle,10,2014,1,,,,7,,,,,11,4,,21,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,
riffle,11,2014,,,,,,,42,,,33,2,,14,,,,,,,,2,,,,,,8,,,,,,,1,,,,,,
margin,1,2014,,,,,,7,,,,,22,2,,28,,,,1,,,,,,,,,,,,,,2,,,,,,1,,
margin,2,2014,,,,,,2,,12,1,,7,5,,3,1,,,,1,1,,,,,,,,,,,,8,,,,,,,,
margin,3,2014,,,,,,,,,,,2,1,,2,,,,,8,,,,,,,,,1,,,,,,,,,,,,
margin,4,2014,,,,,,1,,2,,,10,3,,15,,,,,,,,,,,,,,1,,,,4,,,20,3,,,,
margin,5,2014,,3,,,,3,,2,,,27,3,,15,,,,1,,,,,,,,,,,,,,1,,,3,,,,,
margin,6,2014,,,,,,3,,20,,,30,6,,1,,,,,3,,,1,,,,,,,,,,5,,,,,,,3,
margin,7,2014,,15,,,,2,,74,,,20,,,67,1,,,,1,,,,,,,,,,,,,2,,,1,,3,1,,
margin,8,2014,,,,,,,,36,,,48,3,,18,,,,,,,,,,,,,,6,,,,2,,,,,6,7,,
margin,9,2014,,,,,,,,,4,3,,28,,,,,,,,,,,1,,,5,,,,2,,,,4,2,,,,,
margin,10,2014,,,,,,4,15,,,,20,2,,35,,,,,,,,,,,,,,,,,,2,,,1,1,,,,
margin,11,2014,,,,,,5,,,,,14,7,,30,,,,,,,,,,,,,,1,,,,4,,,,,,,,
riffle,1,2016,,,,,,,1,,,,,,2,,,,1,2,,1,,,,,,,2,,,,,,,,2,,,,,
riffle,2,2016,,,1,,1,,1,,,1,1,,2,,,,1,1,,,,,,,,,11,,,,1,1,,3,1,1,,,,
riffle,3,2016,,3,,,9,,1,,,7,4,,10,,,,4,5,1,,1,,,,,,3,,,,,,,,,,,,,
riffle,4,2016,,,,,4,2,62,,10,40,2,,,,,,,,,,,,,,,,9,,,,3,2,,,,,,,,
riffle,5,2016,,,,,3,55,,,110,,,,,,,,,,,2,,,1,,,,,,,,,13,,,8,,,,2,
margin,1,2016,,,,,,,5,,,2,1,,4,,,,,2,1,1,,,,,,,,,,,,,,,2,,,1,,
margin,2,2016,,,,,,,11,,,2,1,,,1,,,,,,,1,,,,,,1,,,,1,,,,,,,,,
margin,3,2016,,1,,,1,,,,,,4,,2,1,,,,,3,3,,,,,,,,,,,1,,,,1,,,,,
margin,4,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
margin,5,2016,,,,,,,4,,,1,,,1,,,,,,,,,,,,,,,,,,3,,,3,,,,,,
margin,6,2016,,,,,2,,95,,,,3,,35,,,,1,,,4,5,,,,,,,,,,4,,,,2,,,,,
riffle,1,2017,,,,,8,,22,,,35,10,,,1,,,,,,,,,1,,6,,,,,,,3,,,,,2,,,2
riffle,2,2017,4,,,,7,,14,,,29,,,16,,,,,5,,1,,,1,,,,,,,,,1,,,,,,,,
riffle,3,2017,1,,,,3,,8,2,,28,25,6,45,,,,,,,,1,7,1,,,,,,,,,3,,,,,,,,
riffle,4,2017,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
riffle,5,2017,10,3,,,20,,5,,,29,21,1,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,13
riffle,6,2017,,2,,,23,,,,,6,35,,,,,,3,3,,,5,,5,,,,,,,,3,,,,,,,,,
margin,1,2017,3,,,,3,,10,,,5,,,,,,,,,,,,,1,,6,,8,,,,,2,,,,,,,,2
margin,2,2017,3,,,,1,,9,,,10,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
margin,3,2017,,,,,,,5,,,,4,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,
margin,4,2017,1,,,,2,,2,,,,3,1,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
margin,5,2017,2,,,,7,,4,,,9,14,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,
margin,6,2017,3,,,,1,,1,,,1,5,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,
